brand,product_name,parent_category,child_category,price,materials
Superdry,The Merchant Store - Oversized Linen Overshirt,Tops,,109.95,"linen 35%, cotton 65%"
Superdry,Athletic Essentials Ribbed Tank Dress,Dresses,,44.95,Organic Cotton 100%
Superdry,Essential Logo Garment Dye Vest Top,Tops,,26.95,cotton 100%
Superdry,Athletic Essentials Oversized Crew Sweatshirt,Hoodies and Sweatshirts,,69.95,cotton 100%
Superdry,Casual Linen Boyfriend Shirt,Tops,,99.95,"linen 55%, cotton 45%"
Superdry,Athletic Essentials Graphic Pointelle Cami Top,Tops,,29.95,Organic Cotton 100%
Superdry,Athletic Essentials Tonal Embroidered Shorts,Shorts,,44.95,cotton 100%
Superdry,Essential Logo Racer Vest Top,Tops,,26.95,cotton 100%
Superdry,Bardot Off Shoulder Top,Tops,,36.95,Organic Cotton 100%
Superdry,Athletic Essentials Graphic Pointelle Cami Top,Tops,,29.95,Organic Cotton 100%
Superdry,Studios Lightweight Racer Vest Top,Tops,,26.95,Organic Cotton 100%
Superdry,Mountain Windbreaker Jacket,Jackets,,129.95,Recycled Polyester 100%
Superdry,Essential Logo Garment Dye Vest Top,Tops,,26.95,cotton 100%
Superdry,Beach Resort Shirt,Tops,,59.95,viscose 100%
Superdry,Oversized Midi Shirt Dress,Dresses,,62.96,cotton 100%
Superdry,Slim Oxford Long Sleeve Shirt,Tops,,69.95,Organic Cotton 100%
Superdry,Essential Logo Racer Vest Top,Tops,,26.95,cotton 100%
Superdry,Old School Tattoo Oversized Crew Sweatshirt,Hoodies and Sweatshirts,,74.95,cotton 100%
Superdry,Athletic Tonal Oversized T-Shirt,T-Shirts,,39.95,cotton 100%
Superdry,Ibiza Lace Blouse,Tops,,69.95,cotton 100%
Superdry,Athletic Essentials Tonal Applique Crew Sweatshirt,Hoodies and Sweatshirts,,74.95,cotton 100%
Superdry,Athletic Essentials Tonal Applique Crew Sweatshirt,Hoodies and Sweatshirts,,74.95,cotton 100%
Superdry,Old School Tattoo Oversized Zip Hoodie,Hoodies and Sweatshirts,,99.95,cotton 100%
