brand,product_name,parent_category,child_category,materials,price,Body materials_original,Body materials_normalized
Hollister,Short-Sleeve Tuxedo Shirt,Tops,Shirt/Blouse,"Body:66% Cotton, 31% Polyester, 3% Elastane",39.95,"[(66, 'Cotton'), (31, 'Polyester'), (3, 'Elastane')]","[(66, 'cotton'), (31, 'polyester'), (3, 'elastane')]"
Hollister,Short-Sleeve Tuxedo Shirt,Tops,Shirt/Blouse,"Body:66% Cotton, 31% Polyester, 3% Elastane",39.95,"[(66, 'Cotton'), (31, 'Polyester'), (3, 'Elastane')]","[(66, 'cotton'), (31, 'polyester'), (3, 'elastane')]"
Hollister,Ruched Babydoll Top,Tops,Shirt/Blouse,"Body:100% Cotton / Elastic:69% Polyester, 31% Elastane / Lining:100% Polyester",29.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Ruched Babydoll Top,Tops,Shirt/Blouse,"Body:100% Cotton / Elastic:69% Polyester, 31% Elastane / Lining:100% Polyester",29.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Stretch Poplin Button-Through Shirt,Tops,Shirt/Blouse,"Body:60% Cotton, 36% Polyester, 4% Elastane",39.95,"[(60, 'Cotton'), (36, 'Polyester'), (4, 'Elastane')]","[(60, 'cotton'), (36, 'polyester'), (4, 'elastane')]"
Hollister,Button-Front Mini Dress,Dresses & Jumpsuits,Dress,"Body:100% Cotton / Elastic:71% Polyester, 29% Elastane / Lining:100% Polyester",49.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Mexx,Bodywarmer Belted Black,Outerwear,Jacket,100% Polyester,142.99,"[(100, 'Polyester')]","[(100, 'polyester')]"
Mexx,Jacket Puffer Anthracite,Outerwear,Jacket,"78% Polyester, 4% Elastane, 18% Viscose",186.99,"[(78, 'Polyester'), (4, 'Elastane'), (18, 'Viscose')]","[(78, 'polyester'), (18, 'viscose'), (4, 'elastane')]"
Mexx,Long puffer Jacket Beige,Outerwear,Jacket,100% Polyamide,208.99,"[(100, 'Polyamide')]","[(100, 'nylon')]"
Mexx,Teddy Jacket Brown,Outerwear,Jacket,100% Polyester,175.99,"[(100, 'Polyester')]","[(100, 'polyester')]"
Mexx,Short Puffer Jacket Off White,Outerwear,Jacket,100% Polyester,186.99,"[(100, 'Polyester')]","[(100, 'polyester')]"
Mexx,Short Puffer Jacket Blue,Outerwear,Jacket,100% Polyester,186.99,"[(100, 'Polyester')]","[(100, 'polyester')]"
Mexx,Skirt Ruffle Strings Cream,Bottoms,Skirt,100% Polyester,76.99,"[(100, 'Polyester')]","[(100, 'polyester')]"
Mexx,T-shirt Primrose Rib Dark Red,Tops,T-shirt,100% Cotton,43.99,"[(100, 'Cotton')]","[(100, 'cotton')]"
Mexx,Pants Buttoned Waist Light Pink,Bottoms,Trousers/Chinos,"72% Polyester, 23% Viscose, 5% Elastane",109.99,"[(72, 'Polyester'), (23, 'Viscose'), (5, 'Elastane')]","[(72, 'polyester'), (23, 'viscose'), (5, 'elastane')]"
Mexx,Dress Bold flower Pink,Dresses & Jumpsuits,Dress,100% Viscose,131.99,"[(100, 'Viscose')]","[(100, 'viscose')]"
Mexx,Blouse Embroidery Off White,Tops,Shirt/Blouse,100% Viscose,98.99,"[(100, 'Viscose')]","[(100, 'viscose')]"
Mexx,Blouse Puff Sleeve Gathering Pink,Tops,Shirt/Blouse,100% Viscose,98.99,"[(100, 'Viscose')]","[(100, 'viscose')]"
Mexx,Blouse Rosa Black,Tops,Shirt/Blouse,100% Cotton,65.99,"[(100, 'Cotton')]","[(100, 'cotton')]"
Mexx,Jeans Classic slim Blue,Bottoms,Jeans,"98% Cotton, 2% Elastane",98.99,"[(98, 'Cotton'), (2, 'Elastane')]","[(98, 'cotton'), (2, 'elastane')]"
Mexx,Wrap Dress Long Sleeve Black,Dresses & Jumpsuits,Dress,100% Viscose,109.99,"[(100, 'Viscose')]","[(100, 'viscose')]"
Mexx,Top Striped Black/White,Tops,Shirt/Blouse,"35% Polyester, 65% Cotton",60.49,"[(35, 'Polyester'), (65, 'Cotton')]","[(65, 'cotton'), (35, 'polyester')]"
Mexx,Bomberjack Long Sleeve Black,Outerwear,Jacket,"72% Polyester, 22% Viscose, 6% Elastane",131.99,"[(72, 'Polyester'), (22, 'Viscose'), (6, 'Elastane')]","[(72, 'polyester'), (22, 'viscose'), (6, 'elastane')]"
Mexx,Pants Belted Tapered Black,Bottoms,Trousers/Chinos,"72% Polyester, 22% Viscose, 6% Elastane",120.99,"[(72, 'Polyester'), (22, 'Viscose'), (6, 'Elastane')]","[(72, 'polyester'), (22, 'viscose'), (6, 'elastane')]"
Mexx,Top V-back Cream,Tops,Shirt/Blouse,"95% Viscose, 5% Elastane",65.99,"[(95, 'Viscose'), (5, 'Elastane')]","[(95, 'viscose'), (5, 'elastane')]"
Mexx,Knit cardigan Peony Cream,Tops,Sweater/Cardigan,"80% Viscose, 20% Polyamide",76.99,"[(80, 'Viscose'), (20, 'Polyamide')]","[(80, 'viscose'), (20, 'nylon')]"
Mexx,Top Knitted Relief Brown,Tops,Shirt/Blouse,"65% Viscose, 35% Polyamide",65.99,"[(65, 'Viscose'), (35, 'Polyamide')]","[(65, 'viscose'), (35, 'nylon')]"
Mexx,Spencer Fancy Mustard Yellow,Tops,Shirt/Blouse,"60% Cotton, 40% Acrylic",87.99,"[(60, 'Cotton'), (40, 'Acrylic')]","[(60, 'cotton'), (40, 'acrylic')]"
Mexx,T-shirt Print Cream,Tops,T-shirt,100% Cotton,43.99,"[(100, 'Cotton')]","[(100, 'cotton')]"
Mexx,Top Gerbera Mustard Yellow,Tops,Shirt/Blouse,"80% Viscose, 20% Polyamide",60.49,"[(80, 'Viscose'), (20, 'Polyamide')]","[(80, 'viscose'), (20, 'nylon')]"
Mexx,Knit Cardigan Peony Mustard Yellow,Tops,Sweater/Cardigan,"80% Viscose, 20% Polyamide",76.99,"[(80, 'Viscose'), (20, 'Polyamide')]","[(80, 'viscose'), (20, 'nylon')]"
Mexx,Pants Tweed Straight Taupe,Bottoms,Trousers/Chinos,100% Polyester,131.99,"[(100, 'Polyester')]","[(100, 'polyester')]"
